"","xml_link","title","image_href","description","show_link","number_episodes","avg_duration_min","explicit","birthday","zodiac"
"1","https://feeds.buzzsprout.com/310226.rss","The ReMembering and ReEnchanting Podcast","https://storage.buzzsprout.com/variants/wnk3iqfgf6w8nwskyokqhvta1zry/60854458c4d1acdf4e1c2f79c4137142d85d78e379bdafbd69bd34c85f5819ad.jpg","A sacred learning podcast traveling into the past, the future, and the present. ","http://www.sequoiasamanvaya.com",27,61,"not explicit","Fri, 31 Dec 2021 20:00:00 -0500","Capricorn"
"2","https://feeds.simplecast.com/jQEXqr0y","Cutting the Curd","https://image.simplecastcdn.com/images/df525d81-1496-4c53-9525-28d43423675b/018ad9b8-2e31-46ef-8271-ff761c3a4325/3000x3000/new-cuttingthecurd-w-hrn.jpg?aid=rss_feed","Featuring interviews with notable cheesemakers, cheesemongers, and cheese-lovers, Cutting the Curd is an informative, occasionally irreverent, but always cheesy look at the curdy, the nerdy, and the downright funky world of artisan cheese.","https://cutting-the-curd.simplecast.com",513,NA,"not explicit","Sun, 7 Jun 2009 19:18:09 +0000","Gemini"
"3","https://www.spreaker.com/show/2986159/episodes/feed","Fragile Freaks","https://d3wo5wojvuv7l.cloudfront.net/t_rss_itunes_square_1400/images.spreaker.com/original/66ad6bd3acc275461147b588bd250bcf.jpg","**We launched a new podcast: Friends of Failure**<br />Check the new series out on all podcast platforms<br /><br /><br />Fear of failure? Each week we talk about historical, famous, current, and fan failures. We use these stories to show you you’re not as fragile as you think! Please rate, review, and follow. You can find us on Facebook, Instagram, and Snapchat at Fragile Freaks Podcast. Email in your fails to <a href=""mailto:fragilefreakspodcast@gmail.com"">fragilefreakspodcast@gmail.com</a> or call (614) 918-7570‬ <a href=""https://linktr.ee/friendsoffailure"" rel=""noopener"">https://linktr.ee/friendsoffailure</a>","https://linktr.ee/friendsoffailure",14,35,"explicit","Fri, 08 Jun 2018 22:19:04 +0000","Gemini"
"4","https://feeds.simplecast.com/FMUd4fE9","Business of Home Podcast","https://image.simplecastcdn.com/images/e3248cbc-9c46-4935-8020-2d40cae8cc0b/bff6f2e8-8d93-4f30-8fa9-82d0bc4bd89a/3000x3000/boh-l.jpg?aid=rss_feed","Business of Home's host Dennis Scully interviews thought leaders, entrepreneurs, and creatives about the changes and challenges facing the interior design community.","https://businessofhome.com/podcasts.rss",244,NA,"not explicit","Fri, 9 Mar 2018 10:00:00 +0000","Pisces"
"5","https://herstoryofsuccess.libsyn.com/rss","Her Story of Success","https://ssl-static.libsyn.com/p/assets/9/f/b/e/9fbeff5e43c9d2f8/HSSThumbnail.png","At Her Story of Success, we know that no two paths are alike. Join us as we interview influential women trailblazers, entrepreneurs, artists and business leaders who share their stories of defining and pursuing success in hopes of inspiring you along your own journey.","https://www.herstoryofsuccess.com/listen",112,NA,"not explicit","Tue, 10 Apr 2018 03:17:12 +0000","Aries"
"6","https://www.spreaker.com/show/3181788/episodes/feed","Kicking it with Kris and Karlos","https://d3wo5wojvuv7l.cloudfront.net/t_rss_itunes_square_1400/images.spreaker.com/original/72c3c770ab5145bfce90b210711bdc4b.jpg","We are Black, gay, married, and funny as fuck! This podcast keeps it real and is not politically correct! We go over current topics and have several segments including ""The Caucasity"" and the ""Karen Calling The Cops"". Join us twice a week and make sure you follow us on Instagram @KrisandKarlos","https://www.spreaker.com/show/kicking-it-with-kris-and-karlos",74,81,"explicit","Mon, 28 Sep 2020 17:12:29 +0000","Libra"
"7","https://feeds.buzzsprout.com/1555667.rss","Today's Horsewoman","https://storage.buzzsprout.com/variants/c8wrhqfc4pixaq28iyznh6k26bca/60854458c4d1acdf4e1c2f79c4137142d85d78e379bdafbd69bd34c85f5819ad.jpg","Interviews and Discussions with the powerful women that move the horse industry! Find out what makes them tick. What brought them to this industry. Why they love it so much. Advice to you about our industry. Meet up and coming influencers as well as tried and true success stories. ","https://www.buzzsprout.com/1555667",90,30,"not explicit","Wed, 20 Jan 2021 15:00:00 -0500","Aquarius"
"8","https://feeds.buzzsprout.com/1820316.rss","Ashes and Will Do Disney!","https://storage.buzzsprout.com/variants/dq8rfvuls2lroxqirepbwmr3s4tc/60854458c4d1acdf4e1c2f79c4137142d85d78e379bdafbd69bd34c85f5819ad.jpg","Once upon a time there were two Disney nerds. They had a dream of sharing their Disney knowledge with the world.  One day their Fairy Godmother decided it was time to grant that wish.Hi, I’m AshesAnd I’m Will.We’re the hosts of Ashes and Will do Disney! Have you ever wondered how your favorite Disney rides and attractions came to be and what their stories were? Each week, we dive into the magic behind the scenes of the rides, shows, and other Disney attractions that have created memories for every generation.  We’ll take an in depth look at not only the history of these classic and modern magic makers, but also some of the unknown stories behind them- like why one of the most Iconic characters in the Haunted Mansion wasn’t even present in the ride until recent history.  So sit back, relax, and put on your ears! It’s time for Ashes and Will do Disney!Have a Magical Day!","http://www.palmtreesandpineapple.com",46,39,"not explicit","Sat, 17 Jul 2021 22:00:00 -0600","Cancer"
"9","http://feeds.megaphone.fm/history-of-world-war-ii","The History of WWII Podcast - by Ray Harris Jr","https://megaphone.imgix.net/podcasts/833877f8-f7e3-11e7-b213-f391b04215f0/image/uploads_2F1517340680405-54xp1xwv2us-79b5f845b38f3ef4b9ceb78d02a6d85b_2FThe%2BWWII%2BPodcast%2Blogo.jpg?ixlib=rails-4.3.1&max-w=3000&max-h=3000&fit=crop&auto=format,compress","A biweekly podcast covering the last great war. Join Ray Harris Jr as he explores World War Two in intimate detail.","https://worldwariipodcast.net/",413,41,"not explicit","Sun, 01 Jan 2012 06:00:00 -0000","Capricorn"
"10","https://feeds.buzzsprout.com/1126490.rss","HORROR MOVIES WITH T&A","https://storage.buzzsprout.com/variants/fh315490ttntdy1ric5bjmshcexv/5cfec01b44f3e29fae1fb88ade93fc4aecd05b192fbfbc2c2f1daa412b7c1921.jpg","Tony and Adam embark on a podcast adventure and instantly realise that quality, factual and intelligent conversation isn’t as easy as it looks.  Despite this they persevere with their horror movie based waffley chit-chat, taking time out to discuss a randomly chosen horror movie each episode with varying results.  Keep telling yourself.....it can only get better, it can only get better, it can only get better.","https://horrormoviestna.buzzsprout.com",30,46,"explicit","Mon, 15 Jun 2020 23:00:00 +0100","Gemini"
"11","https://feeds.buzzsprout.com/1203797.rss","Wild & Sublime","https://storage.buzzsprout.com/variants/64chqu3q5hgoyxu9odmnlwoxgedf/60854458c4d1acdf4e1c2f79c4137142d85d78e379bdafbd69bd34c85f5819ad.jpg","A podcast about sex for everyone, no matter your preferences, orientation, or relationship style — based on the popular live Chicago talk show, hosted by sex educator Karen Yates. Panelists, interviews, stories, Q and A, and more reflect a dynamic and all-encompassing view of sexuality. Join the juicy party!","https://wildandsublime.com/",105,37,"explicit","Tue, 14 Jul 2020 10:00:00 -0500","Cancer"
