"","xml_link","title","image_href","description","show_link","number_episodes","avg_duration_min","explicit","birthday","zodiac"
"1","http://www.sacredlearning.org/feed/","Sacred Learning","https://www.sacredlearning.org/images/sl_logo.png","Traditional Islamic Learning","https://www.sacredlearning.org",25,NA,"Sun, 20 Mar 2022 04:55:23 +0000","Aries","http://www.sacredlearning.org/feed/"
"2","https://feeds.buzzsprout.com/157483.rss","Behind the Rind: The Story & Science of Cheese","https://storage.buzzsprout.com/variants/QX3VREGA72NEFGE8SnXAH3ud/60854458c4d1acdf4e1c2f79c4137142d85d78e379bdafbd69bd34c85f5819ad?.jpg","Get ready to geek out about cheese! We'll explore complex aspects of cheese through the lens of history and science in this adorably short and entertaining podcast.","http://www.behindtherind.com",8,19,"not explicit","Mon, 12 Feb 2018 00:00:00 -0500","Aquarius"
"3","https://famousfailures.libsyn.com/rss","Famous Failures","https://ssl-static.libsyn.com/p/assets/a/a/f/a/aafa01f7fc4e95bb/ozanpodcast.png","On Famous Failures, I interview the world's most interesting people about their failures and what they learned from them.","http://famousfailures.libsyn.com/website",70,NA,"not explicit","Tue, 30 Jan 2018 08:02:03 +0000","Aquarius"
"4","https://feeds.simplecast.com/FMUd4fE9","Business of Home Podcast","https://image.simplecastcdn.com/images/e3248cbc-9c46-4935-8020-2d40cae8cc0b/bff6f2e8-8d93-4f30-8fa9-82d0bc4bd89a/3000x3000/boh-l.jpg?aid=rss_feed","Business of Home's host Dennis Scully interviews thought leaders, entrepreneurs, and creatives about the changes and challenges facing the interior design community.","https://businessofhome.com/podcasts.rss",244,NA,"not explicit","Fri, 9 Mar 2018 10:00:00 +0000","Pisces"
"5","https://herstoryofsuccess.libsyn.com/rss","Her Story of Success","https://ssl-static.libsyn.com/p/assets/9/f/b/e/9fbeff5e43c9d2f8/HSSThumbnail.png","At Her Story of Success, we know that no two paths are alike. Join us as we interview influential women trailblazers, entrepreneurs, artists and business leaders who share their stories of defining and pursuing success in hopes of inspiring you along your own journey.","https://www.herstoryofsuccess.com/listen",112,NA,"not explicit","Tue, 10 Apr 2018 03:17:12 +0000","Aries"
"6","https://shakeuplearning.libsyn.com/rss","Shake Up Learning Show","https://ssl-static.libsyn.com/p/assets/0/e/b/e/0ebe2ac2d42b2099/Shake-Up-Learning.jpg","Host Kasey Bell, is an edtech leader, international speaker, author, blogger, and digital learning coach for K-12 teachers. Kasey helps teachers learn how to meaningfully integrate technology in the classroom through her expert presentations, on-air coaching calls, and powerful interviews with educational leaders and discussions with student guests. Learn how to integrate technology and digital learning tools, grow as a leader, refine your instructional strategies, and transform your classroom. Kasey is also an expert in Google for Education and G Suite tools, as well as Google Certifications. If you’re looking for PRACTICAL ideas that you can use in class tomorrow, look no further. The Shake Up Learning Show will help you become a more dynamic teacher and Shake Up Learning in your classroom!","https://shakeuplearning.com",100,NA,"not explicit","Tue, 02 Feb 2021 08:00:00 +0000","Aquarius"
"7","https://www.spreaker.com/show/3181788/episodes/feed","Kicking it with Kris and Karlos","https://d3wo5wojvuv7l.cloudfront.net/t_rss_itunes_square_1400/images.spreaker.com/original/72c3c770ab5145bfce90b210711bdc4b.jpg","We are Black, gay, married, and funny as fuck! This podcast keeps it real and is not politically correct! We go over current topics and have several segments including ""The Caucasity"" and the ""Karen Calling The Cops"". Join us twice a week and make sure you follow us on Instagram @KrisandKarlos","https://www.spreaker.com/show/kicking-it-with-kris-and-karlos",74,81,"explicit","Mon, 28 Sep 2020 17:12:29 +0000","Libra"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","https://gghpod.libsyn.com/rss","Grim Grinning Hosts","https://ssl-static.libsyn.com/p/assets/8/0/d/1/80d1bf4c124180aa/IMG_6719.png","Grim Grinning Hosts is a tribute to all things pop culture but mostly theme parks. From attractions, music, movies and whatever else in between, anything and everything is on the table for discussion.","http://gghpod.libsyn.com",153,NA,"explicit","Tue, 01 May 2018 04:18:03 +0000","Taurus"
"10","https://feeds.simplecast.com/ONzxkQ2a","Cauldron - A Military History Podcast","https://image.simplecastcdn.com/images/cb3ebeb2-c6be-4f88-b909-98bc5ae33e03/4abaa025-f228-438a-82dd-0f979154351a/3000x3000/1544464787-artwork.jpg?aid=rss_feed","I'm Cullen Burke, and this is Cauldron - A Military History Podcast. I'll cover the significant battles in history, breaking down the vital players, weapons, methods, events, and outcomes. Let’s take a peek into the past and see what, if anything, can be learned from the most dramatic moments in our collective story. Let’s get stuck in!","https://cauldron.simplecast.com",79,NA,"not explicit","Tue, 9 Jan 2018 16:25:10 +0000","Capricorn"
"11","https://www.spreaker.com/show/2940718/episodes/feed","Attention Horrors","https://d3wo5wojvuv7l.cloudfront.net/t_rss_itunes_square_1400/images.spreaker.com/original/1ba18b38920d66badcb93eb61992fec4.jpg","Listen to Donald Wood, Mike Chiari and Brandon Galvin break down the world of the macabre with a splash of humor, including serial killers, aliens, bigfoot, ghosts, magick, cryptids and so much more!","https://www.spreaker.com/show/attention-horrors",38,62,"explicit","Fri, 11 May 2018 20:27:28 +0000","Taurus"
